Year;Date;Name;Latitude;Longitude;Elevation;T_avg;c_avg;DepthMax;FAC10;FACtot;Citation;FAC10_predict;residual;
2013;27-Apr-2013;core_1_2013;67.00025;-47.022633;1840;-15.44;347.86;19.12;1.51;6.192748267;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.;1.70;0.19;
2013;28-Apr-2013;core_2_2013;66.998367;-47.022133;1840;-15.44;347.86;15.94;1.33;5.462130211;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.;1.70;0.37;
2013;30-Apr-2013;core_3_2013;66.97795;-46.6285;1950;-16.504;361.69;16.03;2.72;11.20114243;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.;2.84;0.11;
2013;03-May-2013;core_4_2013;66.982183;-46.11945;2060;-17.256;358.11;16.3;3.32;13.6390091;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.;3.61;0.29;
2013;05-May-2013;core_5_2013;66.477583;-46.284717;2119;-17.191;355.28;16.64;3.58;14.70311613;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.;3.56;-0.02;
2013;05-May-2013;core_6_2013;66.4726;-46.282983;2119;-17.191;355.28;16.45;3.37;13.84353726;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.;3.56;0.19;
2013;15-May-2013;core_7_2013;66.984583;-45.75465;2142;-17.883;359.42;16.35;3.89;16.01521245;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.;4.01;0.12;
2013;13-May-2013;core_8_2013;66.983217;-45.0449;2266;-19.021;363.06;16.28;4.10;16.86113737;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.;4.78;0.68;
2013;19-May-2013;core_9_2013;66.985283;-44.3936;2361;-19.622;380.09;17.01;4.54;18.66710997;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.;4.83;0.29;
2012;01-May-2012;core_1_2012;67.00025;-47.0213;1840;-15.44;347.86;10.68;2.18;8.969756664;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.;1.70;-0.48;
2012;01-May-2012;core_2_2012;67.00025;-47.021383;1840;-15.44;347.86;10.49;2.22;9.139694162;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.;1.70;-0.52;
2012;01-May-2012;core_3_2012;66.99825;-47.020833;1840;-15.44;347.86;10.2;1.93;7.951499651;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.;1.70;-0.23;
2015;05-May-2015;core_1_2015;67.000417;-47.024717;1840;-15.44;347.86;14.4;1.59;6.518181849;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.;1.70;0.11;
2015;09-May-2015;core_2_2015;66.994111;-44.385389;2355;-19.622;380.09;15.63;4.70;19.34647122;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.;4.83;0.12;
2015;12-May-2015;core_3_2015;66.477861;-42.496389;2376;-19.418;690.04;16.6;4.56;18.74764211;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.;4.81;0.25;
2015;12-May-2015;core_5_2015;66.47769;-42.49619;2368;-19.418;690.04;8.28;4.71;19.37943148;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.;4.81;0.10;
2015;12-May-2015;core_6_2015;66.477694;-42.496444;2384;-19.418;690.04;16.3;4.69;19.30523288;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.;4.81;0.12;
2015;16-May-2015;core_7_2015;65.999333;-44.502333;2451;-19.415;518.55;16.36;4.61;18.97130972;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.;4.81;0.20;
2015;16-May-2015;core_9_2015;65.99927;-44.50237;2453;-19.415;518.55;8.3;4.64;19.06228338;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.;4.81;0.18;
2015;16-May-2015;core_10_2015;65.99934;-44.50203;2464;-19.415;518.55;16.5;4.58;18.81983424;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.;4.81;0.23;
2015;21-May-2015;core_11_2015;66.47771;-46.28606;2126;-17.191;355.28;19.27;3.56;14.65243321;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.;3.56;-0.01;
2015;26-May-2015;core_14_2015;69.8765;-47.02892;1942;-17.805;420.37;17.3;4.45;18.31581641;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.;4.24;-0.21;
2015;26-May-2015;core_16_2015;69.87651;-47.02876;1942;-17.805;420.37;9.39;4.27;17.55388031;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.;4.24;-0.02;
2015;28-May-2015;core_18_2015;75.62514;-35.97939;2661;-29.017;93.557;15.33;5.60;23.04514088;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.;5.58;-0.03;
